Team,Table,Query Type,Question,Query
onboarding,bigquery_onecard_events,Select,user ids of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Select,user ids of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0",SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0",SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Select,user ids of Onecard customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,user ids of Onescore customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,events clicked by the Onecard customers 1234567890987654321 between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,events clicked by the Onescore customers 1234567890987654321 between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,"events clicked by the Onecard customers 1234567890987654321 between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,"events clicked by the Onescore customers 1234567890987654321 between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,events clicked by the Onecard customers 1234567890987654321 in last n days on Android phone with app version 3.2.0,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,events clicked by the Onescore customers 1234567890987654321 in last n days on Android phone with app version 3.2.0,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,"events clicked by the Onecard customers 1234567890987654321 in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,"events clicked by the Onescore customers 1234567890987654321 in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no = 1234567890987654321) AND (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' ORDER BY boe.event_timestamp"
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 in last n days on Android phone with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 in last n days on Android phone with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onecard customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,"user ids of Onescore customers who clicked on any of the events Event_Name1, Event_Name2, Event_Name3 in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DISTINCT boe.customer_no FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name IN ('Event_Name1', 'Event_Name2', 'Event_Name3')) AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Select,last Onecard event clicked by the customer 1234567890987654321,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no =1234567890987654321) AND (LOWER(boe.app_name) = 'onecard') ORDER BY boe.event_timestamp DESC LIMIT 1"
onboarding,bigquery_onecard_events,Select,last Onescore event clicked by the customer 1234567890987654321,"SELECT boe.event_timestamp, boe.event_name FROM bigquery_onecard_events boe WHERE (boe.customer_no =1234567890987654321) AND (LOWER(boe.app_name) = 'onescore') ORDER BY boe.event_timestamp DESC LIMIT 1"
onboarding,bigquery_onecard_events,Aggregation,count of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Aggregation,count of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Aggregation,"count of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0",SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Aggregation,"count of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0",SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Aggregation,count of Onecard customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Aggregation,count of Onescore customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Aggregation,"count of Onecard customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Aggregation,"count of Onescore customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0'"
onboarding,bigquery_onecard_events,Aggregation,weekwise count of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,"SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,weekwise count of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,"SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,"weekwise count of Onecard customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,"weekwise count of Onescore customers who clicked on the event Event_Name between 2024-05-18 and 2024-07-07 on Samsung phone, model CX302 with app version 3.2.0","SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,weekwise count of Onecard customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,weekwise count of Onescore customers who clicked on the event Event_Name in last n days on Android phone with app version 3.2.0,"SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,"weekwise count of Onecard customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,"weekwise count of Onescore customers who clicked on the event Event_Name in last n days on Samsung phone, model CX302 with app version 3.2.0","SELECT DATE_TRUNC('WEEK', event_timestamp) AS week, COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'Event_Name') AND (DATE(boe.event_timestamp) BETWEEN DATE_ADD('DAY', -n, CURRENT_DATE) AND CURRENT_DATE ) AND (LOWER(boe.mobile_brand) = 'samsung') AND (boe.mobile_brand = 'CX302') AND boe.app_version = '3.2.0' GROUP BY DATE_TRUNC('WEEK', event_timestamp) ORDER BY week"
onboarding,bigquery_onecard_events,Aggregation,count of Onecard customers who installed the app between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onecard') AND (boe.event_name = 'first_open') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
onboarding,bigquery_onecard_events,Aggregation,count of Onescore customers who installed the app between 2024-05-18 and 2024-07-07 on Android phone with app version 3.2.0,SELECT COUNT(DISTINCT boe.customer_no) AS number_of_customers FROM bigquery_onecard_events boe WHERE (LOWER(boe.app_name) = 'onescore') AND (boe.event_name = 'first_open') AND (DATE(boe.event_timestamp) BETWEEN DATE('2024-05-18') AND DATE('2024-07-07')) AND (LOWER(boe.platform) = 'android') AND boe.app_version = '3.2.0'
